fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,,2.25,118,,119,,
regular,,19.5,0,,120,,
regular,,16.5,1,,120,,
regular,,16,102,,120,,
regular,,15.75,103,,120,,
regular,,14.75,104,,120,,
regular,,14.25,105,,120,,
regular,,14,106,,120,,
regular,,13,107,,120,,
regular,,12.5,108,,120,,
regular,,12.25,109,,120,,
regular,,11.25,110,,120,,
regular,,10.5,111,,120,,
regular,,10.25,112,,120,,
regular,,9,114,,120,,
regular,,8,115,,120,,
regular,,8,116,,120,,
regular,,6.75,117,,120,,
regular,,4.5,118,,120,,
regular,,2.5,119,,120,,
regular,,21,0,,121,,
regular,,18,1,,121,,
regular,,17.5,102,,121,,
regular,,17,103,,121,,
regular,,16.75,104,,121,,
regular,,16,105,,121,,
regular,,15.5,106,,121,,
regular,,14.75,107,,121,,
regular,,14.25,108,,121,,
regular,,13.75,109,,121,,
regular,,13,110,,121,,
regular,,12.5,111,,121,,
regular,,11.5,112,,121,,
regular,,10.75,114,,121,,
regular,,9.75,115,,121,,
regular,,9.75,116,,121,,
regular,,8,117,,121,,
regular,,6.75,118,,121,,
regular,,4.5,119,,121,,
regular,,3,120,,121,,
regular,,23.25,0,,122,,
regular,,20.25,1,,122,,
regular,,19.75,102,,122,,
regular,,19.5,103,,122,,
regular,,19.25,104,,122,,
regular,,18,105,,122,,
regular,,17.75,106,,122,,
regular,,17,107,,122,,
regular,,16.25,108,,122,,
regular,,16,109,,122,,
regular,,15.5,110,,122,,
regular,,14.5,111,,122,,
regular,,14.25,112,,122,,
regular,,13,114,,122,,
regular,,12.5,115,,122,,
regular,,12.5,116,,122,,
regular,,10.5,117,,122,,
regular,,8.5,118,,122,,
regular,,7,119,,122,,
regular,,6,120,,122,,
regular,,3.75,121,,122,,
regular,,10.75,211,,0,,
regular,,9.75,211,,1,,
regular,,6.5,211,,203,,
regular,,5.5,211,,204,,
regular,,4.5,211,,205,,
regular,,3.75,211,,206,,
regular,,3,211,,207,,
regular,,2.5,211,,208,,
regular,,2.25,211,,209,,
regular,,2.25,211,,210,,
regular,,10.75,212,,0,,
regular,,9.75,212,,1,,
regular,,6.5,212,,203,,
regular,,5.5,212,,204,,
regular,,4.5,212,,205,,
regular,,3.75,212,,206,,
regular,,3,212,,207,,
regular,,2.5,212,,208,,
regular,,2.25,212,,209,,
regular,,2.25,212,,210,,
regular,,2.25,212,,211,,
regular,,10.75,213,,0,,
regular,,975,213,,1,,
regular,,6.5,213,,203,,
regular,,5.5,213,,204,,
regular,,4.5,213,,205,,
regular,,3.75,213,,206,,
regular,,3,213,,207,,
regular,,2.5,213,,208,,
regular,,2.25,213,,209,,
regular,,2.25,213,,210,,
regular,,2.25,213,,211,,
regular,,2.25,213,,212,,
regular,,10.75,0,,211,,
regular,,9.75,1,,211,,
regular,,6.5,203,,211,,
regular,,5.5,204,,211,,
regular,,4.5,205,,211,,
regular,,3.75,206,,211,,
regular,,3,207,,211,,
regular,,2.5,208,,211,,
regular,,2.25,209,,211,,
regular,,2.25,210,,211,,
regular,,10.75,0,,212,,
regular,,9.75,1,,212,,
regular,,6.5,203,,212,,
regular,,5.5,204,,212,,
regular,,4.5,205,,212,,
regular,,3.75,206,,212,,
regular,,3,207,,212,,
regular,,2.5,208,,212,,
regular,,2.25,209,,212,,
regular,,2.25,210,,212,,
regular,,2.25,211,,212,,
regular,,10.75,0,,213,,
regular,,975,1,,213,,
regular,,6.5,203,,213,,
regular,,5.5,204,,213,,
regular,,4.5,205,,213,,
regular,,3.75,206,,213,,
regular,,3,207,,213,,
regular,,2.5,208,,213,,
regular,,2.25,209,,213,,
regular,,2.25,210,,213,,
regular,,2.25,211,,213,,
regular,,2.25,212,,213,,
regular,,11,115,,203,,
regular,,11,115,,204,,
regular,,11,115,,205,,
regular,,11,115,,206,,
regular,,11,115,,207,,
regular,,11,115,,208,,
regular,,11,115,,209,,
regular,,11,115,,210,,
regular,,11,115,,211,,
regular,,11,115,,212,,
regular,,11,115,,213,,
regular,,11,116,,203,,
regular,,11,116,,204,,
regular,,11,116,,205,,
regular,,11,116,,206,,
regular,,11,116,,207,,
regular,,11,116,,208,,
regular,,11,116,,209,,
regular,,11,116,,210,,
regular,,11,116,,211,,
regular,,11,116,,212,,
regular,,11,116,,213,,
regular,,12.5,117,,203,,
regular,,12.5,117,,204,,
regular,,12.5,117,,205,,
regular,,12.5,117,,206,,
regular,,12.5,117,,207,,
regular,,12.5,117,,208,,
regular,,12.5,117,,209,,
regular,,12.5,117,,210,,
regular,,12.5,117,,211,,
regular,,12.5,117,,212,,
regular,,12.5,117,,213,,
