fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,15.5,10,3,9,,
regular,nonpeak,19,12,3,9,,
regular,nonpeak,23.75,14,3,9,,
regular,nonpeak,16.5,10,3,10,,
regular,nonpeak,20.25,12,3,10,,
regular,nonpeak,25.25,14,3,10,,
regular,nonpeak,24,12,3,12,,
regular,nonpeak,29,14,3,12,,
regular,nonpeak,31.75,14,3,14,,
regular,nonpeak,4.25,4,4,4,,
regular,nonpeak,4.25,7,4,4,,
regular,nonpeak,6,9,4,4,,
regular,nonpeak,8.25,10,4,4,,
regular,nonpeak,12,12,4,4,,
regular,nonpeak,18.5,14,4,4,,
regular,nonpeak,4.5,7,4,7,,
regular,nonpeak,6.5,9,4,7,,
regular,nonpeak,9,10,4,7,,
regular,nonpeak,12.25,12,4,7,,
regular,nonpeak,18.75,14,4,7,,
regular,nonpeak,9.25,9,4,9,,
regular,nonpeak,11,10,4,9,,
regular,nonpeak,14.75,12,4,9,,
regular,nonpeak,21.75,14,4,9,,
regular,nonpeak,13.5,10,4,10,,
regular,nonpeak,17.75,12,4,10,,
regular,nonpeak,24.5,14,4,10,,
regular,nonpeak,21.75,12,4,12,,
regular,nonpeak,28,14,4,12,,
regular,nonpeak,30.75,14,4,14,,
regular,nonpeak,4.25,7,7,7,,
regular,nonpeak,4.25,9,7,7,,
regular,nonpeak,6,10,7,7,,
regular,nonpeak,10.5,12,7,7,,
regular,nonpeak,17.25,14,7,7,,
regular,nonpeak,4.5,9,7,9,,
regular,nonpeak,6.5,10,7,9,,
regular,nonpeak,11,12,7,9,,
regular,nonpeak,17.75,14,7,9,,
regular,nonpeak,10,10,7,10,,
regular,nonpeak,13.5,12,7,10,,
regular,nonpeak,20.25,14,7,10,,
regular,nonpeak,17.75,12,7,12,,
regular,nonpeak,24.5,14,7,12,,
regular,nonpeak,28,14,7,14,,
regular,nonpeak,8.25,1,1,3,,
regular,nonpeak,9.5,1,1,4,,
regular,nonpeak,10.5,1,1,7,,
regular,nonpeak,12.5,1,1,9,,
regular,nonpeak,24.75,1,1,10,,
regular,nonpeak,18,1,1,12,,
regular,nonpeak,22.5,1,1,14,,
regular,nonpeak,9.75,3,1,4,,
regular,nonpeak,11.5,3,1,7,,
regular,nonpeak,13.25,3,1,9,,
regular,nonpeak,15,3,1,10,,
regular,nonpeak,18.25,3,1,12,,
regular,nonpeak,23.25,3,1,14,,
regular,nonpeak,12.5,4,1,7,,
regular,nonpeak,14.25,4,1,9,,
regular,nonpeak,16.25,4,1,10,,
regular,nonpeak,19.75,4,1,12,,
regular,nonpeak,24.5,4,1,14,,
regular,nonpeak,6.5,3,3,4,,
regular,nonpeak,7.75,3,3,7,,
regular,nonpeak,9.5,3,3,9,,
regular,nonpeak,11.5,3,3,10,,
regular,nonpeak,15,3,3,12,,
regular,nonpeak,19.75,3,3,14,,
regular,nonpeak,8,4,3,7,,
regular,nonpeak,9.75,4,3,9,,
regular,nonpeak,12,4,3,10,,
regular,nonpeak,15.5,4,3,12,,
regular,nonpeak,20.25,4,3,14,,
regular,nonpeak,11.5,7,3,9,,
regular,nonpeak,13.25,7,3,10,,
regular,nonpeak,16.5,7,3,12,,
regular,nonpeak,21.75,7,3,14,,
regular,nonpeak,15.5,9,3,10,,
regular,nonpeak,19,9,3,12,,
regular,nonpeak,23.75,9,3,14,,
regular,nonpeak,20.25,10,3,12,,
regular,nonpeak,25.25,10,3,14,,
regular,nonpeak,29,12,3,14,,
regular,nonpeak,4.25,4,4,7,,
regular,nonpeak,6,4,4,9,,
regular,nonpeak,8.25,4,4,10,,
regular,nonpeak,12,4,4,12,,
regular,nonpeak,18.5,4,4,14,,
regular,nonpeak,6.5,7,4,9,,
regular,nonpeak,9,7,4,10,,
regular,nonpeak,12.25,7,4,12,,
regular,nonpeak,18.75,7,4,14,,
regular,nonpeak,11,9,4,10,,
regular,nonpeak,14.75,9,4,12,,
regular,nonpeak,21.75,9,4,14,,
regular,nonpeak,17.75,10,4,12,,
regular,nonpeak,24.5,10,4,14,,
regular,nonpeak,28,12,4,14,,
regular,nonpeak,4.25,7,7,9,,
regular,nonpeak,6,7,7,10,,
regular,nonpeak,10.5,7,7,12,,
regular,nonpeak,17.25,7,7,14,,
regular,nonpeak,6.5,9,7,10,,
regular,nonpeak,11,9,7,12,,
regular,nonpeak,17.75,9,7,14,,
regular,nonpeak,13.5,10,7,12,,
regular,nonpeak,20.25,10,7,14,,
regular,nonpeak,24.5,12,7,14,,
regular,peak,10.25,1,1,1,,
regular,peak,11.5,3,1,1,,
regular,peak,13,4,1,1,,
regular,peak,14.5,7,1,1,,
regular,peak,17.25,9,1,1,,
regular,peak,20.25,10,1,1,,
regular,peak,24.75,12,1,1,,
regular,peak,31,14,1,1,,
regular,peak,12,3,1,3,,
regular,peak,13.5,4,1,3,,
